merchant_id,merchant_name,merchant_category,merchant_size,onboarding_date,merchant_status,settlement_cycle,registered_governorate,registered_city
M00032,Metro Learning 0032,Education,Small,2024-01-17,Active,T+1,Port Said,Port Said - Central
M00033,Blue Care 0033,Pharmacy,Micro,2021-08-13,Active,T+0,Cairo,New Cairo
M00034,Sun Fun 0034,Entertainment,Medium,2024-05-23,Active,T+1,Qalyubia,Qalyub
M00035,Metro Mart 0035,Grocery,Micro,2023-01-28,Temporarily Suspended,T+1,Cairo,New Cairo - Central
M00036,Blue Foods 0036,Grocery,Small,2022-08-23,Active,T+1,Giza,Haram
M00037,Prime Kitchen 0037,Restaurants,Small,2021-03-23,Active,T+0,Cairo,Nasr City - Central
M00038,Prime Electronics 0038,Electronics,Micro,2022-10-18,Active,T+2,Cairo,Downtown - Central
M00039,Blue Cafe 0039,Restaurants,Micro,2024-02-12,Active,T+0,Dakahlia,Belqas - Central
M00040,Nile Ride 0040,Transportation,Small,2023-08-18,Active,T+1,Dakahlia,Talkha - Central
M00041,Prime Pharmacy 0041,Pharmacy,Micro,2022-08-26,Active,T+0,Cairo,Shubra - Central
M00042,Golden Cinema 0042,Entertainment,Micro,2022-12-26,Active,T+1,South Sinai,Sharm El Sheikh
M00043,Delta Transit 0043,Transportation,Micro,2024-07-16,Active,T+1,Giza,Haram
M00044,Blue Kitchen 0044,Restaurants,Micro,2024-06-14,Temporarily Suspended,T+2,Assiut,New Assiut
M00045,Green Mobile 0045,Telecom,Small,2024-08-30,Active,T+2,Qalyubia,Obour
M00046,Metro Pharmacy 0046,Pharmacy,Micro,2023-04-11,Active,T+1,Giza,Dokki - Central
M00047,Smart Tech 0047,Electronics,Small,2021-04-10,Active,T+0,Giza,Imbaba - Central
M00048,Royal Connect 0048,Telecom,Medium,2021-10-01,Active,T+0,Red Sea,Hurghada
M00049,Family Station 0049,Fuel,Micro,2021-02-25,Active,T+2,Giza,Sheikh Zayed
M00050,Golden Bites 0050,Restaurants,Small,2023-01-04,Active,T+2,Giza,Faisal
M00051,Urban Wear 0051,Fashion,Small,2021-11-21,Active,T+1,North Sinai,Arish
M00052,Pyramid Academy 0052,Education,Micro,2021-10-17,Temporarily Suspended,T+1,Alexandria,Borg El Arab
M00053,Royal Academy 0053,Education,Micro,2023-12-08,Active,T+0,Qena,Qena
M00054,Sun Station 0054,Fuel,Micro,2022-10-19,Active,T+2,Cairo,Mokattam - Central
M00055,Golden Foods 0055,Grocery,Small,2023-10-17,Active,T+1,Sharqia,10th of Ramadan
M00056,Blue Mart 0056,Grocery,Medium,2021-02-02,Active,T+1,Alexandria,Sidi Gaber
M00057,Prime Transit 0057,Transportation,Medium,2022-11-27,Active,T+2,Giza,Dokki
M00058,Smart Electronics 0058,Electronics,Micro,2023-02-24,Active,T+1,Beheira,Rashid
M00059,Prime Care 0059,Pharmacy,Medium,2021-05-18,Temporarily Suspended,T+0,Minya,Mallawi - Central
M00060,Quick Kitchen 0060,Restaurants,Micro,2024-01-13,Active,T+1,Gharbia,Kafr El Zayat - Central
M00061,Royal Mart 0061,Grocery,Micro,2024-10-22,Active,T+2,Dakahlia,Mansoura - Central
M00062,Nile Fun 0062,Entertainment,Small,2025-07-21,Active,T+0,Monufia,Shebin El Kom - Central
M00063,Delta Cafe 0063,Restaurants,Micro,2023-09-03,Active,T+1,Minya,Samalut - Central
M00064,Elite Wear 0064,Fashion,Micro,2021-06-18,Active,T+0,Cairo,Nasr City - Central
M00065,Delta Health 0065,Healthcare,Micro,2023-11-01,Active,T+1,Minya,Samalut
M00066,Green Pharmacy 0066,Pharmacy,Medium,2024-02-11,Active,T+1,Alexandria,Borg El Arab
M00067,Urban Style 0067,Fashion,Micro,2025-10-25,Active,T+1,Giza,6th of October - Central
M00068,Golden Online 0068,E-Commerce,Micro,2025-01-20,Active,T+1,Alexandria,Agami - Central
M00069,Lotus Mart 0069,Grocery,Micro,2023-08-19,Active,T+2,Cairo,Shubra - Central
M00070,Pyramid Ride 0070,Transportation,Enterprise,2023-04-29,Active,T+1,South Sinai,Dahab
M00071,Prime Foods 0071,Grocery,Small,2024-04-04,Temporarily Suspended,T+1,Cairo,Downtown
M00072,Smart Bites 0072,Restaurants,Micro,2021-11-14,Active,T+1,Beheira,Rashid
M00073,Golden Care 0073,Pharmacy,Small,2024-03-20,Active,T+1,Alexandria,Sidi Gaber
M00074,Green Ride 0074,Transportation,Small,2022-10-16,Active,T+1,Assiut,Dairut
M00075,Sun Station 0075,Fuel,Small,2023-05-11,Active,T+2,Dakahlia,Talkha
M00076,Metro Mart 0076,Grocery,Micro,2021-06-26,Active,T+1,Cairo,Shubra
M00077,Lotus Learning 0077,Education,Micro,2023-01-16,Active,T+1,Giza,Sheikh Zayed - Central
M00078,Nile Cafe 0078,Restaurants,Medium,2024-08-01,Active,T+1,Cairo,Ain Shams - Central
M00079,Smart Cafe 0079,Restaurants,Small,2022-06-10,Active,T+1,Sharqia,Abu Hammad - Central
M00080,Prime Kitchen 0080,Restaurants,Micro,2022-02-06,Active,T+0,Assiut,Dairut
M00081,Metro Store 0081,E-Commerce,Small,2025-06-23,Active,T+1,Cairo,Shubra - Central
M00082,Metro Transit 0082,Transportation,Micro,2024-06-06,Active,T+1,Beni Suef,New Beni Suef - Central
M00083,Elite Foods 0083,Grocery,Micro,2022-05-02,Active,T+2,Kafr El Sheikh,Kafr El Sheikh - Central
M00084,Blue Care 0084,Pharmacy,Micro,2023-08-02,Active,T+1,Beheira,Rashid - Central
M00085,Sun Store 0085,E-Commerce,Micro,2023-03-07,Active,T+2,Red Sea,Marsa Alam
M00086,Nile Connect 0086,Telecom,Micro,2021-10-13,Active,T+1,Giza,Dokki
M00087,Urban Store 0087,E-Commerce,Small,2022-07-11,Active,T+2,Dakahlia,Mit Ghamr
M00088,Lotus Electronics 0088,Electronics,Small,2024-03-22,Active,T+1,Giza,Imbaba
M00089,Royal Store 0089,E-Commerce,Small,2023-02-15,Active,T+1,Beni Suef,Nasser
M00090,Smart Wear 0090,Fashion,Micro,2024-03-29,Active,T+2,Cairo,Mokattam
M00091,Lotus Foods 0091,Grocery,Enterprise,2024-12-20,Active,T+2,Red Sea,Safaga
M00092,Lotus Electronics 0092,Electronics,Medium,2022-09-06,Active,T+2,Giza,6th of October - Central
M00093,Elite Cafe 0093,Restaurants,Micro,2023-06-08,Active,T+1,Cairo,Shubra
M00094,Smart Electronics 0094,Electronics,Micro,2023-02-10,Active,T+2,Assiut,Dairut - Central
M00095,Family Style 0095,Fashion,Medium,2024-11-19,Active,T+1,Giza,Dokki - Central
M00096,Golden Mart 0096,Grocery,Small,2021-09-08,Active,T+2,Monufia,Sadat City - Central
M00097,Sun Online 0097,E-Commerce,Medium,2022-10-10,Active,T+1,Alexandria,Smouha
M00098,Smart Ride 0098,Transportation,Micro,2023-08-12,Active,T+0,Alexandria,Miami
M00099,Smart Pharmacy 0099,Pharmacy,Micro,2022-06-30,Active,T+1,Cairo,Downtown - Central
M00100,Green Wear 0100,Fashion,Medium,2023-04-18,Active,T+1,Sharqia,10th of Ramadan - Central
M00101,Quick Clinic 0101,Healthcare,Small,2024-04-14,Active,T+1,Cairo,Mokattam - Central
M00102,Pyramid Market 0102,Grocery,Micro,2024-10-06,Active,T+0,Qena,Nag Hammadi
M00103,Pyramid Ride 0103,Transportation,Micro,2024-05-10,Active,T+1,Fayoum,Sinnuris
M00104,Golden Market 0104,Grocery,Micro,2023-05-16,Active,T+0,Giza,Haram
M00105,Sun Fun 0105,Entertainment,Micro,2024-03-29,Active,T+1,Qena,Qena
M00106,Cairo Transit 0106,Transportation,Micro,2024-05-20,Active,T+1,Ismailia,Qantara
M00107,Pyramid Cafe 0107,Restaurants,Micro,2023-05-03,Active,T+1,Beheira,Damanhur
M00108,Quick Cinema 0108,Entertainment,Micro,2024-02-14,Active,T+0,Monufia,Menouf
M00109,Nile Cafe 0109,Restaurants,Micro,2021-02-08,Active,T+2,Fayoum,Ibshaway
M00110,Blue Tech 0110,Electronics,Medium,2023-07-16,Active,T+2,Giza,6th of October
M00111,Nova Connect 0111,Telecom,Medium,2021-03-08,Active,T+1,Giza,Faisal - Central
M00112,Blue Market 0112,Grocery,Small,2022-03-15,Active,T+2,Aswan,Aswan
M00113,Nova Health 0113,Healthcare,Small,2021-04-17,Active,T+0,Sharqia,10th of Ramadan
M00114,Family Ride 0114,Transportation,Micro,2021-08-20,Active,T+1,Giza,Imbaba - Central
M00115,Smart Care 0115,Pharmacy,Micro,2021-10-11,Active,T+1,Cairo,Heliopolis
M00116,Pyramid Care 0116,Pharmacy,Medium,2022-08-04,Active,T+1,Cairo,New Cairo - Central
M00117,Smart Care 0117,Pharmacy,Micro,2024-03-23,Active,T+0,Giza,Mohandessin
M00118,Sun Care 0118,Pharmacy,Micro,2021-08-15,Offboarded,T+0,Alexandria,Stanley
M00119,Nova Bites 0119,Restaurants,Micro,2022-11-22,Active,T+1,Monufia,Shebin El Kom - Central
M00120,Smart Online 0120,E-Commerce,Micro,2023-12-13,Active,T+0,Cairo,Shubra - Central
M00121,Blue Academy 0121,Education,Medium,2023-03-24,Active,T+1,Cairo,Downtown
M00122,Royal Ride 0122,Transportation,Micro,2024-01-21,Active,T+1,Giza,6th of October
M00123,Metro Pharmacy 0123,Pharmacy,Micro,2023-06-12,Active,T+1,Dakahlia,Mansoura - Central
M00124,Quick Kitchen 0124,Restaurants,Micro,2024-01-12,Active,T+1,Beheira,Rashid
M00125,Prime Wear 0125,Fashion,Small,2021-08-23,Active,T+1,Sharqia,Abu Hammad - Central
M00126,Cairo Online 0126,E-Commerce,Small,2023-06-27,Active,T+1,Giza,Mohandessin - Central
M00127,Sun Academy 0127,Education,Medium,2024-06-19,Active,T+2,Qalyubia,Obour - Central
M00128,Metro Health 0128,Healthcare,Small,2024-06-15,Active,T+1,Sharqia,Zagazig - Central
M00129,Quick Mart 0129,Grocery,Micro,2022-07-15,Active,T+1,Cairo,Nasr City - Central
M00130,Pyramid Style 0130,Fashion,Medium,2025-12-11,Active,T+1,Giza,Dokki
M00131,Blue Online 0131,E-Commerce,Medium,2022-06-24,Active,T+2,Dakahlia,Talkha
M00132,Lotus Ride 0132,Transportation,Small,2022-03-31,Active,T+1,Cairo,Shubra - Central
M00133,Cairo Academy 0133,Education,Micro,2023-01-23,Active,T+1,Giza,Dokki
M00134,Cairo Online 0134,E-Commerce,Small,2021-10-27,Offboarded,T+1,Port Said,Port Fouad
M00135,Urban Cafe 0135,Restaurants,Micro,2022-11-11,Active,T+1,Alexandria,Miami
M00136,Nile Pharmacy 0136,Pharmacy,Small,2022-05-06,Active,T+1,Cairo,Shubra - Central
M00137,Royal Care 0137,Pharmacy,Micro,2026-03-20,Active,T+1,Alexandria,Borg El Arab
M00138,Cairo Foods 0138,Grocery,Micro,2024-06-14,Active,T+1,Damietta,New Damietta
M00139,Lotus Fun 0139,Entertainment,Micro,2022-11-13,Active,T+0,Alexandria,Stanley
M00140,Nova Academy 0140,Education,Medium,2021-11-07,Active,T+0,Giza,Sheikh Zayed - Central
M00141,Quick Cafe 0141,Restaurants,Enterprise,2026-01-20,Active,T+2,Qena,Qus
M00142,Quick Fun 0142,Entertainment,Micro,2025-05-28,Active,T+1,Kafr El Sheikh,Desouk
M00143,Lotus Care 0143,Pharmacy,Micro,2023-12-02,Active,T+1,Cairo,New Cairo - Central
M00144,Sun Transit 0144,Transportation,Micro,2023-04-14,Active,T+2,Gharbia,Kafr El Zayat
M00145,Quick Electronics 0145,Electronics,Small,2025-03-10,Active,T+1,Sharqia,Minya Al Qamh - Central
M00146,Sun Bites 0146,Restaurants,Small,2023-08-22,Active,T+1,Cairo,Downtown - Central
M00147,Family Learning 0147,Education,Micro,2022-12-06,Active,T+2,Dakahlia,Mit Ghamr
M00148,Quick Online 0148,E-Commerce,Enterprise,2025-10-17,Active,T+0,Gharbia,El Mahalla El Kubra - Central
M00149,Nova Connect 0149,Telecom,Small,2025-08-26,Active,T+1,Qena,Nag Hammadi
M00150,Sun Pharmacy 0150,Pharmacy,Small,2021-11-04,Active,T+1,Giza,Mohandessin - Central
M00151,Elite Market 0151,Grocery,Micro,2023-01-31,Temporarily Suspended,T+1,Kafr El Sheikh,Kafr El Sheikh
M00152,Nile Market 0152,Grocery,Medium,2024-02-16,Active,T+1,Giza,Haram - Central
M00153,Smart Cafe 0153,Restaurants,Small,2023-08-07,Active,T+1,Luxor,Esna
M00154,Prime Academy 0154,Education,Small,2023-10-31,Active,T+1,Cairo,Shubra
M00155,Nile Transit 0155,Transportation,Small,2023-12-13,Active,T+1,Gharbia,Kafr El Zayat
M00156,Quick Kitchen 0156,Restaurants,Micro,2026-05-01,Active,T+2,Dakahlia,Mit Ghamr - Central
M00157,Blue Care 0157,Pharmacy,Micro,2021-02-23,Active,T+1,Dakahlia,Mansoura
M00158,Golden Kitchen 0158,Restaurants,Micro,2022-08-14,Active,T+1,Dakahlia,Mansoura - Central
M00159,Cairo Bites 0159,Restaurants,Small,2023-12-29,Active,T+2,Aswan,Aswan
M00160,Royal Store 0160,E-Commerce,Micro,2024-07-24,Active,T+1,Cairo,Shubra
M00161,Metro Bites 0161,Restaurants,Micro,2025-10-19,Active,T+1,Cairo,Downtown - Central
M00162,Metro Mart 0162,Grocery,Enterprise,2022-02-20,Active,T+1,Cairo,Heliopolis - Central
M00163,Quick Care 0163,Pharmacy,Small,2021-04-28,Active,T+1,Cairo,Downtown - Central
M00164,Golden Clinic 0164,Healthcare,Micro,2026-02-12,Active,T+1,Cairo,Ain Shams
M00165,Nova Cafe 0165,Restaurants,Micro,2024-03-22,Active,T+1,Sohag,Akhmim
M00166,Smart Electronics 0166,Electronics,Micro,2024-02-21,Active,T+1,Alexandria,Stanley
M00167,Quick Care 0167,Pharmacy,Enterprise,2023-04-15,Active,T+1,Qalyubia,Shubra El Kheima - Central
M00168,Smart Learning 0168,Education,Small,2023-06-21,Active,T+0,Alexandria,Sidi Gaber - Central
M00169,Elite Pharmacy 0169,Pharmacy,Micro,2023-02-08,Active,T+2,Gharbia,El Mahalla El Kubra - Central
M00170,Nova Kitchen 0170,Restaurants,Small,2021-02-25,Active,T+1,Cairo,Downtown - Central
M00171,Cairo Mart 0171,Grocery,Micro,2023-03-27,Active,T+1,Ismailia,Ismailia
M00172,Sun Cafe 0172,Restaurants,Micro,2023-07-17,Active,T+1,Giza,Mohandessin
M00173,Nile Online 0173,E-Commerce,Micro,2021-06-27,Active,T+1,Giza,Imbaba
M00174,Cairo Health 0174,Healthcare,Small,2023-09-12,Active,T+1,Sharqia,Belbeis - Central
M00175,Quick Store 0175,E-Commerce,Medium,2021-10-31,Active,T+1,Fayoum,Sinnuris - Central
M00176,Cairo Style 0176,Fashion,Enterprise,2021-08-02,Active,T+1,Cairo,Ain Shams
M00177,Pyramid Kitchen 0177,Restaurants,Medium,2025-01-04,Active,T+1,Giza,6th of October - Central
M00178,Smart Foods 0178,Grocery,Micro,2021-09-07,Active,T+1,Cairo,Mokattam
M00179,Prime Tech 0179,Electronics,Small,2025-09-12,Active,T+0,Giza,Sheikh Zayed
M00180,Family Transit 0180,Transportation,Micro,2022-03-16,Active,T+1,Alexandria,Sidi Gaber
M00181,Golden Connect 0181,Telecom,Micro,2024-09-16,Active,T+1,Fayoum,Ibshaway - Central
M00182,Nile Cinema 0182,Entertainment,Small,2022-12-21,Active,T+1,Qalyubia,Qalyub
M00183,Green Transit 0183,Transportation,Medium,2025-03-09,Active,T+1,Red Sea,Marsa Alam
M00184,Blue Pharmacy 0184,Pharmacy,Medium,2022-07-28,Active,T+2,Minya,Samalut - Central
M00185,Lotus Kitchen 0185,Restaurants,Medium,2022-07-03,Active,T+1,Qalyubia,Shubra El Kheima - Central
M00186,Blue Market 0186,Grocery,Micro,2025-10-12,Active,T+2,Cairo,Maadi
M00187,Delta Style 0187,Fashion,Micro,2021-10-14,Active,T+0,Cairo,Downtown - Central
M00188,Nova Care 0188,Pharmacy,Small,2021-11-20,Active,T+1,Giza,Haram - Central
M00189,Delta Learning 0189,Education,Enterprise,2024-01-13,Active,T+1,Sharqia,Abu Hammad - Central
M00190,Golden Clinic 0190,Healthcare,Small,2022-12-28,Active,T+1,Cairo,Maadi - Central
M00191,Metro Foods 0191,Grocery,Micro,2023-01-24,Active,T+1,Dakahlia,Talkha
M00192,Golden Wear 0192,Fashion,Micro,2021-05-28,Active,T+1,Giza,Faisal
M00193,Green Cafe 0193,Restaurants,Medium,2022-05-16,Active,T+2,Cairo,Heliopolis - Central
M00194,Delta Bites 0194,Restaurants,Enterprise,2021-02-06,Active,T+2,Giza,Sheikh Zayed
M00195,Smart Tech 0195,Electronics,Micro,2024-03-13,Active,T+1,Alexandria,Smouha - Central
M00196,Family Transit 0196,Transportation,Medium,2022-10-18,Active,T+0,Sharqia,Abu Hammad
M00197,Cairo Health 0197,Healthcare,Small,2024-08-31,Temporarily Suspended,T+1,Cairo,Nasr City
M00198,Delta Bites 0198,Restaurants,Medium,2026-05-16,Active,T+2,Giza,6th of October
M00199,Cairo Transit 0199,Transportation,Micro,2023-05-07,Active,T+1,Cairo,Shubra
M00200,Prime Mart 0200,Grocery,Medium,2024-02-03,Active,T+1,Port Said,Port Fouad - Central
M00201,Royal Ride 0201,Transportation,Small,2026-02-17,Active,T+1,Cairo,New Cairo
M00202,Lotus Learning 0202,Education,Micro,2022-12-06,Active,T+0,Beni Suef,Nasser
M00203,Nova Clinic 0203,Healthcare,Small,2021-03-18,Active,T+1,Luxor,Luxor
M00204,Royal Wear 0204,Fashion,Small,2024-12-13,Active,T+1,Giza,Faisal
M00205,Nova Fuel 0205,Fuel,Small,2026-04-19,Active,T+1,Giza,Faisal
M00206,Pyramid Market 0206,Grocery,Small,2024-04-15,Active,T+1,Cairo,Nasr City
M00207,Blue Online 0207,E-Commerce,Medium,2023-12-04,Active,T+1,Giza,Dokki
M00208,Sun Electronics 0208,Electronics,Micro,2021-12-01,Active,T+0,Giza,Haram - Central
M00209,Blue Cafe 0209,Restaurants,Micro,2022-10-19,Offboarded,T+0,Qalyubia,Shubra El Kheima - Central
M00210,Metro Pharmacy 0210,Pharmacy,Small,2021-05-07,Active,T+1,Dakahlia,Talkha - Central
M00211,Delta Health 0211,Healthcare,Micro,2021-02-27,Active,T+1,Cairo,Ain Shams
M00212,Green Tech 0212,Electronics,Micro,2024-08-12,Active,T+2,Cairo,Shubra - Central
M00213,Green Style 0213,Fashion,Small,2024-09-14,Active,T+0,Port Said,Port Fouad
M00214,Cairo Foods 0214,Grocery,Medium,2022-03-19,Active,T+2,Cairo,Ain Shams - Central
M00215,Lotus Connect 0215,Telecom,Small,2022-05-10,Active,T+1,Cairo,Downtown - Central
M00216,Delta Pharmacy 0216,Pharmacy,Medium,2024-01-19,Active,T+1,Dakahlia,Belqas
M00217,Metro Health 0217,Healthcare,Medium,2021-07-13,Active,T+1,Aswan,Kom Ombo
M00218,Sun Style 0218,Fashion,Micro,2022-10-27,Active,T+2,Giza,Sheikh Zayed
M00219,Green Ride 0219,Transportation,Medium,2024-04-17,Active,T+1,Dakahlia,Aga - Central
M00220,Royal Fun 0220,Entertainment,Micro,2024-11-19,Active,T+1,Dakahlia,Mit Ghamr - Central
M00221,Green Cafe 0221,Restaurants,Small,2023-08-27,Active,T+0,Giza,Mohandessin - Central
M00222,Family Electronics 0222,Electronics,Micro,2021-07-11,Active,T+1,Dakahlia,Belqas - Central
M00223,Family Tech 0223,Electronics,Medium,2023-04-08,Active,T+1,Cairo,Maadi
M00224,Royal Market 0224,Grocery,Micro,2021-03-03,Active,T+1,Giza,Dokki - Central
M00225,Family Foods 0225,Grocery,Medium,2026-01-07,Active,T+1,Giza,Faisal
M00226,Green Academy 0226,Education,Micro,2023-01-30,Active,T+1,Giza,Dokki
M00227,Green Mart 0227,Grocery,Micro,2021-08-27,Active,T+0,Giza,Sheikh Zayed
M00228,Family Care 0228,Pharmacy,Small,2024-10-31,Active,T+0,Cairo,Ain Shams - Central
M00229,Family Foods 0229,Grocery,Micro,2023-12-06,Active,T+1,Dakahlia,Talkha - Central
M00230,Prime Style 0230,Fashion,Medium,2022-03-28,Active,T+0,Suez,Ain Sokhna
M00231,Prime Electronics 0231,Electronics,Small,2021-07-24,Active,T+1,Assiut,Assiut
M00232,Elite Clinic 0232,Healthcare,Small,2021-08-14,Active,T+1,Alexandria,Borg El Arab - Central
M00233,Green Pharmacy 0233,Pharmacy,Micro,2024-10-26,Active,T+0,Gharbia,Kafr El Zayat
M00234,Family Kitchen 0234,Restaurants,Small,2022-08-12,Active,T+1,Alexandria,Miami
M00235,Delta Store 0235,E-Commerce,Small,2023-12-25,Active,T+0,Alexandria,Borg El Arab - Central
M00236,Nile Mart 0236,Grocery,Micro,2022-04-08,Active,T+1,Cairo,Nasr City - Central
M00237,Green Kitchen 0237,Restaurants,Micro,2024-03-11,Active,T+1,Alexandria,Agami - Central
M00238,Nile Transit 0238,Transportation,Medium,2024-10-29,Active,T+1,Alexandria,Stanley - Central
M00239,Metro Academy 0239,Education,Medium,2025-08-11,Active,T+1,Suez,Ain Sokhna
M00240,Royal Cafe 0240,Restaurants,Small,2023-08-11,Active,T+1,Cairo,Shubra - Central
M00241,Green Online 0241,E-Commerce,Micro,2024-08-25,Temporarily Suspended,T+2,Gharbia,El Mahalla El Kubra - Central
M00242,Sun Bites 0242,Restaurants,Medium,2021-06-27,Active,T+1,Cairo,Maadi - Central
M00243,Metro Style 0243,Fashion,Medium,2025-01-19,Active,T+1,Red Sea,Safaga
M00244,Elite Clinic 0244,Healthcare,Micro,2025-04-25,Active,T+1,Giza,Faisal - Central
M00245,Pyramid Ride 0245,Transportation,Medium,2024-07-07,Active,T+1,Assiut,Manfalut
M00246,Golden Academy 0246,Education,Small,2022-12-29,Active,T+2,Alexandria,Miami
M00247,Blue Wear 0247,Fashion,Medium,2021-07-02,Active,T+1,Minya,Samalut
M00248,Lotus Ride 0248,Transportation,Micro,2023-04-16,Active,T+1,Giza,6th of October
M00249,Quick Style 0249,Fashion,Micro,2022-08-28,Active,T+1,Cairo,Maadi - Central
M00250,Prime Bites 0250,Restaurants,Small,2022-09-06,Active,T+1,Alexandria,Borg El Arab
M00251,Family Electronics 0251,Electronics,Micro,2021-09-08,Active,T+1,Cairo,New Cairo
M00252,Nile Tech 0252,Electronics,Small,2021-01-09,Active,T+2,Cairo,Downtown - Central
M00253,Sun Learning 0253,Education,Micro,2022-12-01,Active,T+1,Cairo,Shubra
M00254,Pyramid Bites 0254,Restaurants,Medium,2021-01-31,Active,T+1,Ismailia,Ismailia - Central
M00255,Sun Style 0255,Fashion,Medium,2021-04-30,Active,T+0,Giza,Sheikh Zayed
M00256,Pyramid Academy 0256,Education,Medium,2025-09-18,Active,T+1,Cairo,Maadi
M00257,Cairo Wear 0257,Fashion,Enterprise,2025-12-19,Active,T+1,Giza,Imbaba - Central
M00258,Cairo Style 0258,Fashion,Small,2023-12-07,Active,T+1,Luxor,Luxor
M00259,Smart Cafe 0259,Restaurants,Micro,2024-07-18,Temporarily Suspended,T+1,Alexandria,Smouha
M00260,Lotus Foods 0260,Grocery,Small,2021-02-17,Temporarily Suspended,T+0,Dakahlia,Talkha - Central
M00261,Prime Ride 0261,Transportation,Medium,2023-02-21,Active,T+1,Giza,Sheikh Zayed
M00262,Golden Store 0262,E-Commerce,Small,2022-02-14,Active,T+2,Red Sea,Safaga
M00263,Pyramid Tech 0263,Electronics,Micro,2025-01-06,Active,T+1,Cairo,Mokattam - Central
M00264,Green Pharmacy 0264,Pharmacy,Medium,2025-08-01,Active,T+1,Alexandria,Agami
M00265,Delta Clinic 0265,Healthcare,Micro,2022-06-06,Active,T+1,Cairo,Ain Shams - Central
M00266,Cairo Academy 0266,Education,Medium,2023-09-08,Active,T+0,Dakahlia,Belqas - Central
M00267,Green Transit 0267,Transportation,Micro,2026-03-14,Active,T+0,Giza,Mohandessin - Central
M00268,Nova Cafe 0268,Restaurants,Micro,2022-08-24,Active,T+1,Giza,Dokki
M00269,Urban Ride 0269,Transportation,Micro,2022-07-11,Active,T+2,Cairo,Nasr City
M00270,Metro Cafe 0270,Restaurants,Small,2021-10-04,Active,T+1,Kafr El Sheikh,Sidi Salem
M00271,Nova Style 0271,Fashion,Micro,2023-04-23,Active,T+1,Suez,Suez
M00272,Blue Store 0272,E-Commerce,Enterprise,2022-01-03,Active,T+1,Qalyubia,Khanka
