account_id,customer_id,account_type,wallet_tier,account_status,opened_date,daily_limit_egp,current_balance_egp
A000025,C043217,Personal Wallet,Basic,Active,2023-12-05,10000.0,314.9
A000026,C043603,Personal Wallet,Basic,Active,2023-06-13,10000.0,1986.73
A000027,C022178,Personal Wallet,Basic,Active,2022-07-20,10000.0,2116.4
A000028,C000082,Personal Wallet,Basic,Suspended,2024-05-28,10000.0,1017.99
A000029,C025567,Personal Wallet,Basic,Active,2022-06-04,10000.0,793.51
A000030,C032556,Personal Wallet,Silver,Active,2025-07-11,20000.0,2156.2
A000031,C019491,Personal Wallet,Gold,Active,2023-02-23,40000.0,3511.39
A000032,C009608,Personal Wallet,Basic,Active,2025-03-25,10000.0,796.37
A000033,C034074,Personal Wallet,Silver,Active,2023-04-04,20000.0,1100.07
A000034,C038993,Personal Wallet,Silver,Active,2025-02-24,20000.0,1691.2
A000035,C017945,Personal Wallet,Basic,Suspended,2024-12-05,10000.0,919.55
A000036,C042223,Personal Wallet,Basic,Active,2024-12-25,10000.0,260.45
A000037,C018259,Business Wallet,Business,Active,2025-01-25,80000.0,7332.26
A000038,C040702,Personal Wallet,Basic,Active,2022-06-06,10000.0,168.95
A000039,C037445,Personal Wallet,Silver,Active,2022-12-24,20000.0,2564.02
A000040,C013528,Personal Wallet,Basic,Active,2025-05-22,10000.0,443.21
A000041,C035438,Personal Wallet,Basic,Suspended,2022-08-15,10000.0,1758.83
A000042,C009262,Personal Wallet,Silver,Active,2026-02-11,20000.0,1771.6
A000043,C044014,Personal Wallet,Silver,Active,2024-02-20,20000.0,2438.46
A000044,C041163,Personal Wallet,Silver,Active,2024-04-06,20000.0,948.96
A000045,C013587,Personal Wallet,Basic,Active,2024-12-22,10000.0,3563.99
A000046,C017565,Personal Wallet,Basic,Active,2024-10-10,10000.0,1238.47
A000047,C016660,Personal Wallet,Gold,Active,2023-10-27,40000.0,1999.56
A000048,C025165,Personal Wallet,Basic,Active,2023-10-01,10000.0,134.76
A000049,C007044,Personal Wallet,Basic,Active,2025-05-30,10000.0,417.23
A000050,C011038,Personal Wallet,Gold,Active,2022-03-28,40000.0,7556.09
A000051,C044208,Personal Wallet,Basic,Active,2024-10-28,10000.0,1059.14
A000052,C027332,Personal Wallet,Basic,Active,2025-03-14,10000.0,846.43
A000053,C030826,Personal Wallet,Basic,Suspended,2026-04-19,10000.0,805.01
A000054,C018041,Personal Wallet,Silver,Active,2025-07-31,20000.0,1482.28
A000055,C016228,Personal Wallet,Silver,Active,2022-09-18,20000.0,1801.57
A000056,C038573,Personal Wallet,Basic,Active,2025-03-04,10000.0,1724.77
A000057,C027078,Personal Wallet,Basic,Active,2024-08-10,10000.0,1031.75
A000058,C014151,Personal Wallet,Basic,Active,2024-04-13,10000.0,676.03
A000059,C036583,Business Wallet,Gold,Active,2024-12-22,40000.0,962.99
A000060,C011119,Personal Wallet,Gold,Active,2023-06-01,40000.0,3505.93
A000061,C026557,Personal Wallet,Basic,Active,2025-04-17,10000.0,694.58
A000062,C028403,Personal Wallet,Basic,Active,2024-09-09,10000.0,591.68
A000063,C042335,Personal Wallet,Silver,Active,2024-06-03,20000.0,907.95
A000064,C037963,Personal Wallet,Basic,Active,2025-02-06,10000.0,1842.9
A000065,C000991,Personal Wallet,Basic,Active,2025-04-03,10000.0,1048.56
A000066,C006801,Personal Wallet,Basic,Active,2024-11-16,10000.0,589.45
A000067,C028704,Personal Wallet,Basic,Active,2024-04-17,10000.0,610.49
A000068,C004601,Personal Wallet,Basic,Active,2024-10-23,10000.0,336.56
A000069,C032414,Personal Wallet,Gold,Active,2022-06-13,40000.0,7371.04
A000070,C003068,Personal Wallet,Silver,Active,2022-10-20,20000.0,2451.49
A000071,C044836,Personal Wallet,Silver,Active,2024-01-14,20000.0,2900.5
A000072,C022801,Personal Wallet,Basic,Active,2022-05-18,10000.0,811.07
A000073,C013532,Personal Wallet,Silver,Active,2024-06-12,20000.0,1180.1
A000074,C036708,Personal Wallet,Gold,Active,2024-01-16,40000.0,7407.05
A000075,C000365,Personal Wallet,Gold,Active,2022-07-03,40000.0,7999.22
A000076,C031357,Personal Wallet,Basic,Active,2022-09-05,10000.0,496.79
A000077,C010488,Personal Wallet,Silver,Active,2026-06-20,20000.0,549.38
A000078,C035491,Personal Wallet,Basic,Active,2026-05-29,10000.0,167.63
A000079,C041795,Personal Wallet,Basic,Active,2022-11-20,10000.0,117.95
A000080,C012241,Personal Wallet,Silver,Active,2024-07-18,20000.0,230.21
A000081,C006314,Personal Wallet,Basic,Active,2022-09-03,10000.0,676.87
A000082,C000905,Personal Wallet,Silver,Active,2024-02-28,20000.0,573.16
A000083,C011024,Personal Wallet,Basic,Active,2023-04-04,10000.0,1030.38
A000084,C015459,Personal Wallet,Basic,Active,2026-05-01,10000.0,608.29
A000085,C024236,Personal Wallet,Basic,Active,2023-09-08,10000.0,1314.53
A000086,C030449,Personal Wallet,Gold,Active,2023-01-13,40000.0,5022.33
A000087,C041152,Personal Wallet,Basic,Active,2022-06-26,10000.0,884.92
A000088,C023575,Personal Wallet,Basic,Active,2025-03-06,10000.0,1287.4
A000089,C013790,Personal Wallet,Basic,Active,2022-12-03,10000.0,1217.73
A000090,C038029,Personal Wallet,Basic,Active,2022-02-19,10000.0,842.52
A000091,C028450,Personal Wallet,Basic,Active,2023-07-25,10000.0,1493.4
A000092,C028360,Personal Wallet,Basic,Active,2025-02-27,10000.0,2804.49
A000093,C022014,Business Wallet,Gold,Active,2025-10-24,40000.0,1017.21
A000094,C032599,Personal Wallet,Silver,Active,2024-01-01,20000.0,848.52
A000095,C034670,Personal Wallet,Basic,Active,2025-01-19,10000.0,334.07
A000096,C018188,Personal Wallet,Basic,Closed,2024-01-23,10000.0,1386.13
A000097,C033016,Personal Wallet,Silver,Active,2023-06-24,20000.0,1218.61
A000098,C025539,Business Wallet,Business,Suspended,2025-03-07,80000.0,11525.44
A000099,C035266,Personal Wallet,Basic,Closed,2024-09-14,10000.0,172.94
A000100,C011941,Personal Wallet,Basic,Active,2022-07-20,10000.0,58.69
A000101,C035070,Personal Wallet,Gold,Active,2022-11-13,40000.0,3097.67
A000102,C018769,Personal Wallet,Basic,Active,2022-06-02,10000.0,1261.79
A000103,C024427,Personal Wallet,Silver,Active,2025-04-21,20000.0,2793.52
A000104,C015475,Personal Wallet,Basic,Active,2025-08-30,10000.0,1108.74
A000105,C011343,Business Wallet,Business,Active,2023-06-24,80000.0,2660.9
A000106,C029917,Personal Wallet,Silver,Active,2022-08-06,20000.0,1827.62
A000107,C040529,Personal Wallet,Silver,Active,2024-10-22,20000.0,1001.45
A000108,C006910,Personal Wallet,Silver,Active,2024-01-06,20000.0,3695.17
A000109,C025898,Personal Wallet,Silver,Active,2022-08-10,20000.0,1690.16
A000110,C033107,Personal Wallet,Basic,Active,2025-12-08,10000.0,1686.28
A000111,C027701,Personal Wallet,Basic,Active,2022-03-13,10000.0,566.39
A000112,C008312,Personal Wallet,Silver,Active,2024-10-30,20000.0,247.6
A000113,C000836,Personal Wallet,Gold,Active,2025-01-12,40000.0,2434.93
A000114,C035313,Personal Wallet,Basic,Active,2023-07-31,10000.0,871.85
A000115,C029010,Personal Wallet,Gold,Suspended,2022-10-28,40000.0,2832.9
A000116,C022203,Personal Wallet,Silver,Suspended,2022-05-24,20000.0,297.01
A000117,C002208,Personal Wallet,Basic,Active,2022-10-14,10000.0,1201.09
A000118,C033786,Personal Wallet,Basic,Active,2022-08-10,10000.0,698.41
A000119,C008008,Personal Wallet,Basic,Active,2024-12-18,10000.0,63.69
A000120,C016427,Personal Wallet,Gold,Active,2025-03-17,40000.0,6332.32
A000121,C012071,Personal Wallet,Basic,Closed,2024-10-20,10000.0,613.03
A000122,C005120,Personal Wallet,Gold,Active,2026-06-20,40000.0,635.17
A000123,C010193,Personal Wallet,Basic,Active,2022-08-02,10000.0,127.31
A000124,C008131,Personal Wallet,Basic,Active,2024-06-24,10000.0,393.49
A000125,C006653,Personal Wallet,Basic,Active,2023-09-09,10000.0,1252.86
A000126,C016571,Personal Wallet,Basic,Active,2023-01-10,10000.0,1110.31
A000127,C026804,Personal Wallet,Gold,Active,2022-04-14,40000.0,434.19
A000128,C016865,Personal Wallet,Basic,Active,2025-11-15,10000.0,856.53
A000129,C030563,Personal Wallet,Gold,Active,2026-04-14,40000.0,6511.92
A000130,C036266,Personal Wallet,Basic,Active,2023-01-05,10000.0,1343.11
A000131,C030588,Personal Wallet,Basic,Active,2024-04-16,10000.0,1658.31
A000132,C043012,Personal Wallet,Basic,Active,2022-05-16,10000.0,567.81
A000133,C027350,Personal Wallet,Gold,Active,2024-11-16,40000.0,4076.57
A000134,C026917,Personal Wallet,Silver,Active,2022-11-23,20000.0,1539.13
A000135,C029995,Personal Wallet,Silver,Active,2026-02-09,20000.0,496.01
A000136,C001028,Personal Wallet,Basic,Active,2023-12-10,10000.0,1945.38
A000137,C040813,Personal Wallet,Silver,Active,2023-10-23,20000.0,2873.67
A000138,C008019,Personal Wallet,Basic,Active,2025-11-23,10000.0,138.27
A000139,C008628,Personal Wallet,Gold,Active,2022-03-19,40000.0,2509.35
A000140,C015203,Personal Wallet,Silver,Active,2024-09-14,20000.0,4137.25
A000141,C030059,Personal Wallet,Basic,Active,2025-01-19,10000.0,140.99
A000142,C003185,Personal Wallet,Silver,Active,2022-06-28,20000.0,1461.27
A000143,C009396,Personal Wallet,Basic,Active,2024-12-09,10000.0,48.23
A000144,C010142,Personal Wallet,Basic,Active,2023-07-26,10000.0,290.57
A000145,C043359,Personal Wallet,Silver,Active,2024-06-26,20000.0,549.94
A000146,C005891,Personal Wallet,Basic,Active,2023-01-16,10000.0,847.22
A000147,C029033,Personal Wallet,Silver,Active,2023-06-13,20000.0,486.81
A000148,C022532,Personal Wallet,Basic,Suspended,2023-04-15,10000.0,642.72
A000149,C003903,Personal Wallet,Basic,Active,2025-04-19,10000.0,1833.19
A000150,C037015,Personal Wallet,Basic,Active,2023-11-15,10000.0,1114.37
A000151,C012460,Personal Wallet,Basic,Active,2022-06-24,10000.0,266.38
A000152,C023045,Personal Wallet,Silver,Active,2025-04-18,20000.0,1790.94
A000153,C022149,Personal Wallet,Gold,Active,2022-04-27,40000.0,1015.69
A000154,C002382,Personal Wallet,Gold,Active,2025-11-15,40000.0,1007.2
A000155,C028122,Personal Wallet,Silver,Active,2023-05-11,20000.0,1903.46
A000156,C009473,Personal Wallet,Silver,Active,2022-05-24,20000.0,2269.65
A000157,C041001,Personal Wallet,Basic,Active,2023-01-27,10000.0,1008.11
A000158,C032884,Personal Wallet,Silver,Active,2022-10-13,20000.0,2341.89
A000159,C042745,Personal Wallet,Basic,Active,2022-12-09,10000.0,1855.99
A000160,C043877,Personal Wallet,Silver,Active,2024-12-25,20000.0,1050.23
A000161,C013845,Business Wallet,Business,Active,2025-03-17,80000.0,13150.08
A000162,C037352,Personal Wallet,Basic,Active,2023-04-07,10000.0,964.43
A000163,C023520,Personal Wallet,Basic,Active,2024-01-23,10000.0,2063.53
A000164,C029128,Personal Wallet,Basic,Active,2022-06-06,10000.0,1212.82
A000165,C008433,Personal Wallet,Gold,Active,2022-08-30,40000.0,2302.77
A000166,C032197,Personal Wallet,Silver,Active,2023-03-18,20000.0,1520.99
A000167,C019995,Personal Wallet,Basic,Active,2026-01-11,10000.0,1153.48
A000168,C042899,Personal Wallet,Silver,Active,2022-12-18,20000.0,552.01
A000169,C029187,Business Wallet,Business,Active,2023-11-02,80000.0,4620.17
A000170,C036058,Personal Wallet,Basic,Active,2025-03-02,10000.0,577.2
A000171,C043591,Personal Wallet,Silver,Active,2022-04-13,20000.0,3555.34
A000172,C037595,Personal Wallet,Gold,Active,2025-02-06,40000.0,2669.76
A000173,C028073,Personal Wallet,Basic,Active,2023-10-04,10000.0,787.9
A000174,C040383,Personal Wallet,Gold,Active,2024-11-01,40000.0,1442.27
A000175,C021344,Personal Wallet,Silver,Active,2023-08-15,20000.0,4202.99
A000176,C017537,Personal Wallet,Basic,Active,2023-10-22,10000.0,449.31
A000177,C044256,Personal Wallet,Gold,Active,2024-09-30,40000.0,4645.1
A000178,C027297,Personal Wallet,Silver,Active,2023-10-10,20000.0,205.86
A000179,C031528,Business Wallet,Business,Active,2022-06-24,80000.0,12557.43
A000180,C002930,Personal Wallet,Basic,Active,2022-05-06,10000.0,329.32
A000181,C008741,Personal Wallet,Gold,Active,2022-11-15,40000.0,599.16
A000182,C041707,Personal Wallet,Silver,Active,2022-08-15,20000.0,1143.79
A000183,C000996,Personal Wallet,Basic,Active,2023-02-14,10000.0,2045.61
A000184,C042311,Personal Wallet,Basic,Active,2025-11-26,10000.0,1883.16
A000185,C010921,Personal Wallet,Silver,Active,2024-07-08,20000.0,4314.62
A000186,C038415,Personal Wallet,Basic,Active,2024-12-25,10000.0,1067.19
A000187,C003663,Personal Wallet,Basic,Active,2022-06-18,10000.0,600.98
A000188,C032251,Personal Wallet,Basic,Active,2023-01-15,10000.0,705.85
A000189,C019085,Personal Wallet,Basic,Suspended,2023-12-05,10000.0,417.02
A000190,C038427,Personal Wallet,Gold,Active,2025-03-12,40000.0,6209.67
A000191,C031033,Personal Wallet,Basic,Active,2026-01-03,10000.0,1053.78
A000192,C030635,Personal Wallet,Basic,Active,2025-02-08,10000.0,197.93
A000193,C032094,Personal Wallet,Silver,Suspended,2026-04-18,20000.0,2390.28
A000194,C002621,Personal Wallet,Gold,Active,2024-03-20,40000.0,11515.63
A000195,C019364,Personal Wallet,Silver,Active,2022-09-15,20000.0,2470.47
A000196,C025386,Personal Wallet,Silver,Active,2023-10-09,20000.0,2914.99
A000197,C016621,Personal Wallet,Silver,Suspended,2025-07-03,20000.0,4570.71
A000198,C017095,Personal Wallet,Basic,Active,2022-08-28,10000.0,12.62
A000199,C021793,Personal Wallet,Basic,Active,2024-05-21,10000.0,267.43
A000200,C031486,Personal Wallet,Silver,Active,2024-04-18,20000.0,1606.99
A000201,C016321,Personal Wallet,Basic,Active,2022-08-22,10000.0,245.93
A000202,C008982,Personal Wallet,Basic,Active,2024-06-17,10000.0,652.05
A000203,C005237,Personal Wallet,Basic,Active,2024-03-22,10000.0,998.3
A000204,C013051,Personal Wallet,Basic,Active,2023-05-04,10000.0,1146.37
A000205,C000691,Personal Wallet,Silver,Active,2024-09-18,20000.0,1693.48
A000206,C029704,Personal Wallet,Basic,Active,2023-08-09,10000.0,533.63
A000207,C040035,Personal Wallet,Basic,Active,2024-02-28,10000.0,747.78
A000208,C025982,Business Wallet,Business,Active,2022-06-05,80000.0,5124.84
A000209,C034188,Personal Wallet,Basic,Active,2023-06-04,10000.0,1866.14
A000210,C022714,Personal Wallet,Gold,Active,2024-02-19,40000.0,4359.23
A000211,C035031,Personal Wallet,Silver,Active,2024-09-09,20000.0,1327.27
A000212,C016126,Personal Wallet,Basic,Active,2022-05-21,10000.0,1083.6
A000213,C013964,Personal Wallet,Basic,Suspended,2022-01-30,10000.0,369.12
A000214,C043410,Personal Wallet,Basic,Active,2024-10-24,10000.0,703.63
A000215,C001966,Personal Wallet,Basic,Active,2024-03-19,10000.0,825.17
A000216,C014683,Personal Wallet,Basic,Active,2023-08-15,10000.0,803.46
A000217,C043852,Personal Wallet,Silver,Active,2023-12-03,20000.0,1102.57
A000218,C011044,Personal Wallet,Basic,Active,2023-06-16,10000.0,1189.34
A000219,C015257,Personal Wallet,Basic,Active,2022-07-14,10000.0,1121.3
A000220,C001219,Personal Wallet,Basic,Active,2025-04-08,10000.0,275.38
A000221,C028494,Personal Wallet,Silver,Active,2022-07-02,20000.0,1903.16
A000222,C026762,Personal Wallet,Silver,Active,2023-07-17,20000.0,1010.8
A000223,C031984,Personal Wallet,Basic,Active,2023-08-03,10000.0,393.76
A000224,C015499,Personal Wallet,Basic,Active,2024-08-03,10000.0,189.75
A000225,C034483,Personal Wallet,Gold,Active,2024-09-23,40000.0,840.51
A000226,C023928,Personal Wallet,Silver,Active,2023-10-10,20000.0,298.32
A000227,C031933,Personal Wallet,Silver,Active,2022-07-11,20000.0,1361.4
A000228,C009309,Personal Wallet,Basic,Active,2025-11-21,10000.0,1044.58
A000229,C033343,Personal Wallet,Silver,Active,2023-04-17,20000.0,872.59
A000230,C038151,Personal Wallet,Gold,Active,2024-08-22,40000.0,4986.52
A000231,C036292,Personal Wallet,Basic,Active,2023-08-16,10000.0,907.81
A000232,C025460,Personal Wallet,Gold,Active,2023-06-29,40000.0,9044.11
A000233,C018896,Personal Wallet,Basic,Active,2023-04-02,10000.0,819.17
A000234,C010815,Personal Wallet,Basic,Suspended,2023-04-15,10000.0,416.51
A000235,C027917,Personal Wallet,Basic,Active,2023-09-20,10000.0,2330.01
A000236,C034704,Personal Wallet,Basic,Active,2026-02-19,10000.0,1702.1
A000237,C027664,Personal Wallet,Silver,Active,2023-03-22,20000.0,1628.38
A000238,C009280,Personal Wallet,Basic,Active,2025-02-06,10000.0,816.91
A000239,C025591,Personal Wallet,Basic,Active,2025-08-18,10000.0,886.11
A000240,C037670,Personal Wallet,Gold,Active,2025-05-18,40000.0,2229.16
A000241,C042643,Personal Wallet,Gold,Active,2024-09-10,40000.0,2909.13
A000242,C032715,Personal Wallet,Basic,Active,2022-04-28,10000.0,595.09
A000243,C007671,Personal Wallet,Basic,Suspended,2025-02-05,10000.0,1618.5
A000244,C019337,Personal Wallet,Basic,Active,2025-12-10,10000.0,422.88
A000245,C013696,Personal Wallet,Basic,Active,2023-07-01,10000.0,928.05
A000246,C008165,Personal Wallet,Basic,Active,2022-09-04,10000.0,82.75
A000247,C034452,Personal Wallet,Gold,Active,2023-04-22,40000.0,7993.42
A000248,C010648,Personal Wallet,Basic,Active,2022-04-02,10000.0,890.36
A000249,C043872,Personal Wallet,Silver,Active,2022-06-20,20000.0,641.73
A000250,C011271,Personal Wallet,Basic,Active,2023-12-31,10000.0,249.76
A000251,C008197,Personal Wallet,Basic,Active,2024-05-13,10000.0,421.42
A000252,C006957,Personal Wallet,Basic,Active,2022-11-01,10000.0,298.57
A000253,C028882,Personal Wallet,Silver,Active,2026-01-27,20000.0,1413.63
A000254,C019535,Personal Wallet,Basic,Suspended,2022-07-01,10000.0,539.72
A000255,C006635,Personal Wallet,Basic,Active,2024-05-19,10000.0,236.68
A000256,C025887,Personal Wallet,Basic,Active,2024-01-27,10000.0,872.63
A000257,C026089,Personal Wallet,Basic,Active,2023-09-19,10000.0,1749.19
A000258,C028563,Business Wallet,Gold,Active,2022-09-17,40000.0,1772.8
A000259,C008492,Personal Wallet,Basic,Active,2022-03-01,10000.0,786.38
A000260,C023374,Personal Wallet,Basic,Active,2022-04-11,10000.0,505.96
A000261,C003293,Personal Wallet,Silver,Active,2024-05-18,20000.0,1168.55
A000262,C026403,Business Wallet,Business,Active,2024-06-16,80000.0,7657.55
A000263,C009014,Personal Wallet,Silver,Active,2024-03-07,20000.0,3171.03
A000264,C008183,Personal Wallet,Gold,Active,2026-05-11,40000.0,3111.55
A000265,C037200,Personal Wallet,Basic,Active,2024-02-05,10000.0,717.11
A000266,C016498,Business Wallet,Business,Active,2025-02-05,80000.0,13599.29
A000267,C039105,Personal Wallet,Basic,Active,2024-10-25,10000.0,392.62
A000268,C044073,Personal Wallet,Basic,Active,2025-08-15,10000.0,157.21
A000269,C015562,Personal Wallet,Silver,Active,2025-04-22,20000.0,1088.9
A000270,C023248,Personal Wallet,Basic,Active,2023-05-08,10000.0,841.43
A000271,C014276,Personal Wallet,Silver,Active,2022-12-04,20000.0,3030.99
A000272,C044093,Personal Wallet,Basic,Active,2024-02-07,10000.0,1346.66
A000273,C029325,Personal Wallet,Silver,Active,2026-04-22,20000.0,674.02
A000274,C005570,Personal Wallet,Silver,Suspended,2023-03-15,20000.0,2720.55
A000275,C008102,Personal Wallet,Silver,Active,2024-06-05,20000.0,678.24
A000276,C031296,Personal Wallet,Silver,Active,2023-05-06,20000.0,2359.13
A000277,C038408,Personal Wallet,Gold,Active,2025-07-21,40000.0,3151.31
A000278,C018021,Personal Wallet,Gold,Active,2024-01-02,40000.0,258.55
A000279,C033885,Personal Wallet,Basic,Active,2022-05-18,10000.0,770.04
A000280,C039344,Personal Wallet,Basic,Active,2025-04-02,10000.0,1578.46
A000281,C043071,Personal Wallet,Basic,Active,2022-02-21,10000.0,2472.98
A000282,C008991,Personal Wallet,Silver,Active,2023-06-22,20000.0,1016.51
A000283,C001529,Personal Wallet,Gold,Active,2023-12-17,40000.0,2940.49
A000284,C009720,Personal Wallet,Basic,Active,2022-11-13,10000.0,2529.02
A000285,C035570,Personal Wallet,Basic,Active,2022-11-23,10000.0,3393.63
A000286,C002374,Personal Wallet,Silver,Active,2023-05-18,20000.0,839.03
A000287,C017595,Personal Wallet,Gold,Active,2022-11-06,40000.0,1187.53
A000288,C034839,Personal Wallet,Basic,Active,2022-12-15,10000.0,549.3
A000289,C036867,Personal Wallet,Silver,Active,2022-03-14,20000.0,1258.84
A000290,C042052,Personal Wallet,Silver,Active,2022-05-01,20000.0,1069.01
A000291,C031096,Personal Wallet,Basic,Active,2024-04-17,10000.0,205.97
A000292,C038100,Personal Wallet,Basic,Active,2023-10-17,10000.0,1435.82
A000293,C011695,Personal Wallet,Basic,Suspended,2022-04-05,10000.0,821.81
A000294,C022015,Personal Wallet,Basic,Active,2024-02-28,10000.0,240.25
A000295,C010370,Personal Wallet,Basic,Active,2023-01-01,10000.0,175.29
A000296,C031180,Personal Wallet,Silver,Active,2026-02-13,20000.0,1714.16
A000297,C005618,Personal Wallet,Basic,Active,2024-01-03,10000.0,2803.13
A000298,C029417,Personal Wallet,Basic,Active,2023-12-12,10000.0,3370.84
A000299,C013993,Personal Wallet,Silver,Active,2025-03-22,20000.0,1738.2
A000300,C003412,Personal Wallet,Silver,Suspended,2023-06-10,20000.0,2568.37
A000301,C031054,Personal Wallet,Silver,Active,2023-06-05,20000.0,823.38
A000302,C028537,Personal Wallet,Silver,Closed,2024-05-23,20000.0,1333.46
A000303,C002952,Personal Wallet,Basic,Active,2023-03-30,10000.0,165.8
A000304,C016329,Personal Wallet,Gold,Active,2024-04-06,40000.0,8430.18
A000305,C024999,Personal Wallet,Silver,Active,2023-03-14,20000.0,2026.38
A000306,C015231,Personal Wallet,Basic,Active,2023-04-08,10000.0,40.72
A000307,C040782,Personal Wallet,Silver,Suspended,2025-11-17,20000.0,1364.3
A000308,C025730,Personal Wallet,Basic,Active,2025-10-05,10000.0,624.72
A000309,C024853,Personal Wallet,Basic,Active,2023-11-21,10000.0,1295.8
A000310,C036253,Personal Wallet,Silver,Active,2026-06-20,20000.0,1520.32
A000311,C028546,Business Wallet,Business,Active,2023-12-28,80000.0,1954.42
A000312,C025092,Personal Wallet,Basic,Active,2023-06-17,10000.0,689.12
A000313,C023295,Personal Wallet,Basic,Active,2022-08-22,10000.0,1991.48
A000314,C003324,Personal Wallet,Basic,Active,2024-04-26,10000.0,1326.52
A000315,C019849,Personal Wallet,Basic,Active,2026-06-04,10000.0,641.37
A000316,C005279,Personal Wallet,Basic,Suspended,2025-05-14,10000.0,378.77
A000317,C011411,Personal Wallet,Basic,Active,2026-06-08,10000.0,1165.4
A000318,C029729,Personal Wallet,Basic,Active,2023-08-20,10000.0,347.93
A000319,C020329,Personal Wallet,Basic,Active,2026-03-11,10000.0,400.71
A000320,C000474,Personal Wallet,Basic,Active,2024-07-10,10000.0,371.93
A000321,C020504,Personal Wallet,Basic,Suspended,2022-06-14,10000.0,1460.02
A000322,C028381,Personal Wallet,Basic,Active,2024-09-02,10000.0,1811.63
A000323,C002291,Personal Wallet,Silver,Active,2022-10-18,20000.0,1184.61
A000324,C016580,Personal Wallet,Gold,Active,2024-10-13,40000.0,1371.6
A000325,C042438,Personal Wallet,Basic,Active,2025-11-10,10000.0,146.31
A000326,C031902,Personal Wallet,Basic,Active,2023-09-15,10000.0,119.65
A000327,C036187,Personal Wallet,Basic,Active,2023-11-05,10000.0,107.9
A000328,C011036,Personal Wallet,Silver,Active,2024-11-29,20000.0,4670.89
A000329,C001958,Personal Wallet,Silver,Active,2024-07-03,20000.0,2512.51
A000330,C023239,Personal Wallet,Basic,Active,2025-04-22,10000.0,194.22
A000331,C011355,Personal Wallet,Basic,Active,2025-06-13,10000.0,287.42
A000332,C033153,Personal Wallet,Basic,Active,2024-07-14,10000.0,254.85
A000333,C009624,Personal Wallet,Basic,Active,2023-06-26,10000.0,1109.0
A000334,C035344,Personal Wallet,Gold,Active,2022-04-01,40000.0,2809.24
A000335,C040117,Personal Wallet,Silver,Active,2022-11-14,20000.0,5119.22
A000336,C000244,Personal Wallet,Basic,Active,2024-02-06,10000.0,1182.23
A000337,C010943,Personal Wallet,Basic,Active,2024-02-26,10000.0,2736.08
A000338,C017195,Personal Wallet,Silver,Active,2025-02-08,20000.0,1191.32
A000339,C006068,Personal Wallet,Basic,Active,2024-11-26,10000.0,705.51
A000340,C015423,Personal Wallet,Silver,Active,2022-04-06,20000.0,2881.03
A000341,C028757,Personal Wallet,Basic,Active,2024-08-16,10000.0,1802.88
A000342,C014379,Personal Wallet,Basic,Active,2022-06-07,10000.0,437.57
A000343,C044028,Personal Wallet,Silver,Active,2023-02-25,20000.0,711.19
A000344,C003208,Personal Wallet,Basic,Active,2024-12-15,10000.0,698.36
A000345,C031190,Personal Wallet,Gold,Active,2023-05-26,40000.0,4705.62
A000346,C027936,Personal Wallet,Silver,Active,2026-01-29,20000.0,2565.0
A000347,C043670,Personal Wallet,Silver,Active,2023-04-28,20000.0,3001.47
A000348,C027542,Personal Wallet,Basic,Active,2025-10-27,10000.0,547.78
A000349,C016640,Personal Wallet,Basic,Active,2023-02-10,10000.0,551.47
A000350,C044614,Personal Wallet,Basic,Active,2024-12-28,10000.0,300.56
